,From,To,Time (min)
43036,Kortcamp,Mount Holly Spgs,561
43037,Hillsboro,Jeffris,7
43038,Schram City,Rucker,51
43039,Hillview,Roaring Spring,321
43040,Irving,Crooked Lake,632
43041,Otter Creek,Holmquist,942
43042,Jersey,Lewis Mcchord,966
43043,Mcclusky,W Pennsboro,924
43044,Jerseyville,Mccall,262
43045,Otterville,Reston,908
43046,Kampsville,Palermo,24
43047,Old Kane,Cedarville,693
43048,Kane,Ore Valley,639
43049,Litchfield,Cowansville,61
43050,Hornsby,Mid Torch Key,505
43051,Barnett,Chenoa,81
43052,Livingston,URB Chinto Rodon,605
43053,Brooklyn,Swiss,545
43054,Stites,Cartago,187
43055,Lovejoy,Bureau Of Public Debt,553
43056,Cloverleaf,Garnavillo,705
43057,Eagle Park,Northfield Mt Hermon,836
43058,Madison,Pittsboro,717
43059,Newport,Cropsey,749
43060,Marine,Rye Brook,322
43061,Maryville,Rochester Mills,715
43062,Kemper,URB El Real,898
43063,Medora,Mcalmont,466
43064,Summerville,Newfield,801
43065,Michael,Ocontofalls,966
43066,Moro,Starrhs Ferry,304
43067,Mt Olive,Camp Ground,187
43068,White City,Blowing Rock,504
43069,Lake Keho,Theilman,194
43070,Mount Olive,Freeland,186
43071,Mozier,Washingtonville,833
43072,Natl Stock Yd,Bluff City,152
43073,National Stock Yards,Oakhurst,232
43074,Nat Stock Yds,Broadway,766
43075,New Douglas,Hallie,971
43076,Wenonah,Greeley,842
43077,Audubon,Everetts,467
43078,Coalton,Glorieta,354
43079,Nokomis,Jessieville,524
43080,Ohlman,Springfield Brm,694
43081,Grisham,Southern Pines,613
43082,Panama,Oakland,544
43083,Patterson,Deer River,310
43084,Piasa,Nantucket,971
43085,Ramsey,Panaca,469
43086,Vera,Centerbrook,156
43087,Bayle,Kent Cliffs,507
43088,Lake Centralia,Pageland,598
43089,Rockbridge,Waterford,898
43090,Barrow,Air National Guard,9
43091,Roodhouse,Edgerton,390
43092,Athensville,Dix Hills,267
43093,Rosamond,Carmine,234
43094,Roxana,Marietta,423
43095,Sawyerville,Mays Lick,873
43096,Sorento,Goff,662
43097,Reno,Iva,205
43098,South Roxana,Mcgrann,217
43099,Staunton,Fairmont,727
43100,Williamson,URB Bello Horizonte,14
43101,Taylor Spgs,Welling,344
43102,Taylor Springs,URB Dos Pinos Townhouse,141
43103,Venice,Buick City,7
43104,Walshville,Belden,747
43105,Walkerville,Barnesville,935
43106,Drake,Ponderay,174
43107,Belltown,Hayesville,897
43108,White Hall,Loup City,908
43109,Wilsonville,New Salem,826
43110,Witt,Olympia Fields,122
43111,Wood River,Strasburg,886
43112,Worden,Long Creek,891
43113,Prairietown,Clark,989
43114,Wrights,Chandler Hts,686
43115,E St Louis,Little River,396
43116,East St Louis,West Springfield,310
43117,East Saint Louis,Roca,487
43118,Sauget,Tufts University,793
43119,E Saint Louis,Campbellsburg,422
43120,Fairmont City,Atlanta,517
43121,Centreville,Mosier,545
43122,Washington Pk,Laubachs,745
43123,Washingtn Park,West New York,213
43124,Cahokia,Lighthouse Pt,24
43125,Alorton,Amawalk,841
43126,East Saint Louis,Clarendon,546
43127,E Saint Louis,Wilderville,299
43128,Fairview Hts,Salado,8
43129,Fairview Heights,Neoga,784
43130,Venedy,Osceola,86
43131,Addieville,Elco,583
43132,Albers,URB Santa Maria,758
43133,Damiansville,Elk Run Hgts,411
43134,Aviston,Barton City,808
43135,Baldwin,Onaga,943
43136,Santa Fe,Sautee Nacoochee,622
43137,Bartelso,Sw Mo State,66
43138,Beckemeyer,Grimville,82
43139,Swansea,Pacific City,336
43140,Belleville,Possum Fork,647
43141,Shiloh,Haydenville,751
43142,Rentchler,Doddsville,267
43143,Signal Hill,Garfield,383
43144,Scott Air Force Base,Streator,289
43145,Scott AFB,Magnetic Spring,238
43146,Saint Rose,Wabbaseka,343
43147,Breese,Cameron,295
43148,Shatuc,Middletown,398
43149,Carlyle,S Freeport,872
43150,Boulder,Ideal,967
43151,Posey,Goodlettsvlle,166
43152,Ferrin,Ater,9
43153,Royal Lake,Omaha,438
43154,Shattuc,Pleasureville,631
43155,Fairview Hieghts,Pipestem,559
43156,Hollywood Heights,Rosewood,817
43157,Caseyville,Heath,20
43158,Bremen,Pr Du Sac,39
43159,Chester,Powellton,761
43160,Collinsville,Vance,251
43161,Lumaghi Heights,Rossville,870
43162,State Park Place,Slemp,402
43163,Columbia,Mcgrady,322
43164,Swanwick,Preston,580
43165,Coulterville,Jackass Flats,834
43166,Winkle,Poulsbo,533
43167,Cutler,Ferdinand,400
43168,Dupo,Union City,541
43169,E Carondelet,Turtle Lake,601
43170,East Carondelet,Davidson,745
43171,Imbs,St Peters,851
43172,Ellisgrove,Algoa,449
43173,Ellis Grove,Washington Gas,711
43174,Evansville,Almond,834
43175,Freeburg,Cleghorn,617
43176,Chaflin Bridge,Miller Lake,955
43177,Fults,Luis Lopez,75
43178,Germantown,Kolola Springs,476
43179,Dudleyville,Res Barinas,512
43180,Beaver Creek,Dimmette,755
43181,Stubblefield,Pacific Gas And Electric,129
43182,Ayers,Rexford,903
43183,Woburn,Lyburn,295
43184,Wisetown,Casey,391
43185,Greenville,Longwood,680
43186,Hagarstown,Wentworth,65
43187,Hecker,Eden Prairie,637
43188,Grantfork,West Terre Haute,496
43189,Highland,Wahkiacus,915
43190,Hoffman,City County Building,136
43191,Clement,Roman Forest,419
43192,Huey,Edmore,800
43193,Irishtown,University Park,294
43194,Tamalco,Stockbridge Indian Reservati,513
43195,Keyesport,Uler,969
43196,Lebanon,Osceola,838
43197,Lenzburg,Southwick,676
43198,Darmstadt,Shepherd,179
43199,Maeystown,URB Interamericana Gdn,759
43200,Marissa,Excello,376
43201,Marrisa,Palisades Pk,108
43202,Fayetteville,Camp Meeker,867
43203,Mascoutah,Shawnee On De,439
43204,Menard,Biggsville,334
43205,Millstadt,Lowder,577
43206,Pr Du Rocher,Ext Milaville,993
43207,Modoc,URB Palmar Norte,995
43208,Prairie Du Rocher,Windsor,308
43209,Mulberry Grove,Yaupon Beach,58
43210,Royal Lake Resort,Brundage,897
43211,Mulberry Grv,Hazleton,177
43212,New Minden,URB Del Carmen,734
43213,Nashville,Wills Point,813
43214,Beaucoup,Guthrie Ctr,927
43215,Todds Mill,Manteo,276
43216,Pilot Knob,Pleasant Plains,304
43217,New Athens,Wikieup,449
43218,New Baden,Horningford,419
43219,New Memphis,Claremont,704
43220,Oakdale,Saint Rose,659
43221,Elkton,Kleinfeltersv,194
43222,Lively Grove,Wilson,496
43223,Shiloh,Modena,299
43224,Belleville,South Renovo,41
43225,O Fallon,N Saint Paul,511
43226,Covington,Mount Morris,169
43227,Okawville,Arapahoe,672
43228,Percy,URB Garcia,428
43229,Pierron,Dille,992
43230,Conant,Mapleton,657
43231,Pinckneyville,Vernon,427
43232,Old Ripley,Grants Ranch,924
43233,Baden Baden,Mackinac Island,439
43234,Jamestown,Millville,22
43235,Millersburg,Westlake,35
43236,Pocahontas,Greenwood,741
43237,Pr Du Rocher,Coffee Springs,876
43238,Prairie Du Rocher,Elkport,849
43239,Ruma,N Weymouth,193
43240,Redbud,Durand,757
43241,Red Bud,Maytown,223
43242,Grigg,Chantilly,466
43243,Renault,Williana,26
43244,Rockwood,University,845
43245,Glenn,Vicksburg,148
43246,Saint Jacob,West Farms,499
43247,Saint Libory,Hudson,356
43248,Hookdale,Hoopa Valley Indian Reservat,542
43249,Smithboro,Shelbyville,534
43250,Pleasant Mound,Warner Spgs,254
43251,Smithton,Mannington,398
43252,Houston,Johns Creek,748
43253,Eden,Chattahoochee,225
43254,Schulines,Dunnegan,548
43255,Sparta,Merrimac,765
43256,Steeleville,Fort Thompson,76
43257,Wine Hill,Joshua,625
43258,Welge,Cut Bank,321
43259,Summerfield,Mcewensville,428
43260,Tilden,Lorenzo,12
43261,Sugar Creek,Durant,577
43262,St Morgan,Longwood,918
43263,Trenton,Trussville,19
43264,Troy,Fairview,96
43265,Harrisonville,Pleasant Valley,191
43266,Merrimac,Ext Roosevelt,553
43267,Valmeyer,Big Basin,608
43268,Fountain,Stony Run,759
43269,Walsh,Andover,668
43270,Saint Joe,Monroe,510
43271,Wartburg,Tahoe City,328
43272,Madonnaville,Lazy Lake,495
43273,Foster Pond,Mono Hot Springs,897
43274,St Joe,Bruno,180
43275,Monroe City,Riverton,876
43276,New Hanover,Parkersburg,5
43277,Waterloo,Coalton,693
43278,Floraville,Troy Hills,498
43279,Burksville,New Straitsville,574
43280,Lou Del,Ojus,653
43281,Paderborn,Johnston,36
43282,Tipton,Cross Timber,195
43283,Burton,Milton,204
43284,Quincy,Bartlett,710
43285,Marblehead,Schroon Lake,340
43286,Columbus,N Lawrence,470
43287,Augusta,Padanaram The Packet,276
43288,El Dara,Lindale,533
43289,Barry,Porter Square,121
43290,Basco,Villas De La Playa,409
43291,Baylis,Williston,872
43292,Bowen,National Enquirer,96
43293,Camden,White Oak,80
43294,Columbus,N Falmouth,162
43295,Camp Point,Moore,375
43296,Harmony,Bigbee,671
43297,Webster,Monmouth,236
43298,Carthage,Greshville,465
43299,Bentley,Westtown,971
43300,Fountain Green,Pond Bank,582
43301,Denver,Cartwright,916
43302,Mccall,North Attleboro,224
43303,Chambersburg,Farragut,357
43304,Clayton,Sunol,675
43305,Kellerville,Greenwich,318
43306,Coatsburg,Roodhouse,884
43307,Fandon,Arlington,500
43308,Colchester,Fosdick Corp,673
43309,Colusa,Selbyville,170
43310,Adrian,Whitehead,887
43311,Pilot Grove,Machesney Park,455
43312,Dallas City,Nemacolin,572
43313,Burnside,East Arcadia,217
43314,Pontoosuc,Groveland,604
43315,Elvaston,Avalon,344
43316,Ferris,Wickes,708
43317,Fowler,Mckeesport,827
43318,Golden,Somersett,470
43319,Griggsville,South Beaver Dam,56
43320,Valley City,Lake Carroll,978
43321,Hamilton,Lacona,742
43322,Hull,Mclaurin,89
43323,East Hannibal,Abbott,464
43324,Huntsville,Grassy Creek,694
43325,Kinderhook,New Lothrop,201
43326,La Prairie,Gwynedd Vly,636
43327,Adams,Granite,484
43328,Liberty,Plymouth,910
43329,Chestline,Garrard,362
43330,Lima,Univ Nv Las Vegas,872
43331,Loraine,Fair Oaks Ranch,289
43332,Bigneck,Agana,433
43333,Tioga,Ross,947
43334,Mendon,N Belle Vernon,931
43335,Milton,Elwyn Terrace,955
43336,Ripley,Mist,580
43337,Cooperstown,Dungeness,111
43338,Mt Sterling,Sweden,545
43339,Mount Sterling,Saucier,832
43340,Hersman,Plum Creek,974
43341,Nauvoo,Chatterton,953
43342,Nebo,Plainfield,238
43343,New Canton,Creston,889
43344,New Salem,Ridgefield Pk,652
43345,Niota,Est Siervas De Maria,623
43346,Paloma,Ben Arnold,119
43347,Bluff Hall,Amantha,255
43348,Payson,Bartlett,350
43349,Fall Creek,Mount Eden,903
43350,Pearl,S Belmar,416
43351,Perry,Allison,746
43352,Time,Jonesville,968
43353,Detroit,Blakes,103
43354,Pittsfield,Maurin,733
43355,Summer Hill,Kiahsville,592
43356,Plainville,Alt De Vega Baja,182
43357,Richfield,Markleton,533
43358,Pleasant Hill,Walkertown,432
43359,Colmar,Hacienda La Monserrate,456
43360,Birmingham,Garciasville,465
43361,Plymouth,Neptune,442
43362,Atlas,Beavercrk Twp,546
43363,Rockport,Villa Auxerre,617
43364,Sutter,Prince William,441
43365,Tennessee,Snow,307
43366,Timewell,La Salle,620
43367,Marcelline,Bra# 52,80
43368,Ursa,Springdale,378
43369,Versailles,Colerain,537
43370,Warsaw,Wagarville,138
43371,Stillwell,University Pk,577
43372,West Point,Cullison,687
43373,Green Creek,Blue Lake,220
43374,Northmore Heights,Lakeville,561
43375,Effingham,Indianola,678
43376,Heartville,Deiblers,870
43377,Douglas,Prairie Vlg,838
43378,Saint Marys,Machias,227
43379,Blue Point,New Washington,495
43380,Boggsville,Avenal,357
43381,Park Hills,Connerville,854
43382,Lake Sara,Baltimore,538
43383,Lillyville,Union Pacific Rr,531
43384,Funkhouser,Glen Arm,880
43385,Allendale,Quandahl,529
43386,Altamont,Bolo,419
43387,Annapolis,Crotona Park,410
43388,Wrights Corner,Karnes City,17
43389,Beecher City,Melcher Dallas,111
43390,Lukin,Clifford,120
43391,Bridgeport,Torres Canon,770
43392,Petrolia,Shell Beach,383
43393,Confidence,Willow Island,848
43394,Otego,Ridgemont,783
43395,Brownstown,Brownstown,468
43396,Berryville,Victory,362
43397,Bonpas,Sarver,225
43398,Calhoun,Enon,204
43399,Casey,Greene,566
43400,Claremont,Lincoln Park,500
43401,German,Verbank,780
43402,Bowling Green,Columbiana,654
43403,Cowden,Richardson,480
43404,Dennison,Pall Mall,468
43405,Dieterich,Nixa,829
43406,Dundas,Fort Chiswell,96
43407,Larkinsburg,Kings Canyon,242
43408,Edgewood,Kulpsville,179
43409,La Clede,Laguna Hills,533
43410,Laclede,Dodgeville,313
43411,Heathsville,Libby,890
43412,Birds,Macon,862
43413,Flat Rock,Dorado,764
43414,Timothy,Nambe,891
43415,Diona,Greenevers,354
43416,Greenup,Cutler,188
43417,Maple Point,Ward,193
43418,Union Center,Albion,836
43419,Hazel Dell,Piney Flats,520
43420,Herrick,Henderson,111
43421,Rose Hill,Blandinsville,793
43422,Hidalgo,Lavale,185
43423,Hutsonville,Forsyth,171
43424,Ingraham,Williams Center,897
43425,Janesville,Reiffton,920
43426,Jewett,New Riegel,570
43427,Lakewood,Horseshoe Lake,841
43428,Lawrenceville,Pepin,69
43429,Lawrence,Gumspring,825
43430,Allison,URB San Benito,958
43431,Pinkstaff,National Passport Agency,248
43432,Westport,Moodus,48
43433,Billet,San Tan Vly,519
43434,Bond,Stephen F Austin Univ,513
43435,Russellville,East China Twp,346
43436,Janesville,New Tripoli,130
43437,Lerna,Nas N Island,210
43438,Clark Center,Bard,362
43439,Marshall,Howell,824
43440,Clarksville,River Grove,368
43441,Albright,Rominger,697
43442,Oliver,East Gridley,933
43443,Neadmore,Forest Grove,421
43444,Martinsville,Bromley,190
43445,Cleone,Adamsville,245
43446,Moonshine,Genoa,218
43447,Gilmore,Wayzata,625
43448,Mason,Pope Mills,127
43449,Fancher,Fayetteville,26
43450,Mode,Nine Mile Falls,345
43451,Beecher City,Downey,888
43452,Woodbury,Eleele,282
43453,Gila,Helm,531
43454,Montrose,Robbins,610
43455,Mount Erie,Freeport,939
43456,Big Spring,Lake Sullivan,779
43457,Trowbridge,Carey,109
43458,Neoga,Richfield,595
43459,Newton,Harrison,719
43460,Bogota,Leshara,947
43461,Wakefield,Milton-Freewater,413
43462,Wendelin,Country Club Heights,155
43463,Kibble,URB San Martin,600
43464,Oblong,Granite Falls,554
43465,Orchard Heights,Pls Vrds Pnsl,190
43466,Olney,Valle Verde,749
43467,Lamotte,Beaver Island,370
43468,Palestine,Ranchita,184
43469,Parkersburg,Ledyard,488
43470,New Hebron,Leeds,187
43471,Trimble,Bureau Narc Dngr Drugs Lab,472
43472,Eaton,Medford,293
43473,Robinson,Shelley,787
43474,Duncanville,Kugler,452
43475,Gordons,Northbrook,816
43476,Hardinville,Fairplay,85
43477,St Elmo,Angels Camp,791
43478,Saint Elmo,San Tan Valley,327
43479,Sainte Marie,Southern Md Facility,798
43480,Ste Marie,Hurdle Mills,944
43481,St Francisvle,Soc Sec Bureau Hearing App,219
43482,Denison,Turbeville,800
43483,Saint Francisville,Tatamy,975
43484,Sand Barrens,Ulysses,919
43485,St Francisville,Littleton,231
43486,Shumway,Fl Reg Lib Bl,337
43487,Sigel,Washington Dt,964
43488,Kingman,Foresthill,472
43489,Stewardson,Hingham,181
43490,Stoy,Oddville,98
43491,Strasburg,Lynwood,299
43492,Herborn,La France,424
43493,Sumner,Andover,453
43494,Helena,S Bethany,151
43495,Chauncey,Parowan,810
43496,Teutopolis,Shamokin Dam,952
43497,Island Grove,Rowland,378
43498,St Francis,Henry,36
43499,Cottonwood,La Tijera,76
43500,Bradbury,Inger,629
43501,Cumberland,Hockessin,843
43502,Toledo,Creston,895
43503,Sumpter,Fredonia,967
43504,Trilla,Santa Fe,604
43505,Vandalia,Clio,31
43506,Shafter,Hico,841
43507,Hagarstown,Bradley,645
43508,Bear Grove,Saint David,826
43509,Watson,High Point Park,836
43510,Westfield,Rolinda,571
43511,Parker,Texline,966
43512,West Liberty,Vancleve,522
43513,West Salem,Maxdale,447
43514,West Union,Emeryville,526
43515,West York,Kongsberg,192
43516,Wheeler,Brocton,369
43517,Willow Hill,Lake Geneva,98
43518,Hunt,Ringwood,610
43519,Hunt City,Williamsport,90
43520,Yale,Aaronsburg,444
43521,Argenta,Indian Wells,58
43522,Oakley,Huron Twp,48
43523,Newburg,Bronson,441
43524,Assumption,Parade,402
43525,Beason,Friendship,953
43526,Blue Mound,Cusson,854
43527,Boody,Jerry City,609
43528,Buffalo Hart,Northfield Mt Hermon,926
43529,Buffalo,Babylon,557
43530,Lanesville,Sikes,892
43531,Bulpitt,Sandy Springs,295
43532,Chestnut,Salem,355
43533,Cornland,Gilchrist,157
43534,Dawson,Pemberton,923
43535,Decatur,Breese,32
43536,Long Creek,East Poultney,777
43537,Bearsdale,Social Security Admin,230
43538,Divernon,Rhinelander,314
43539,Cimic,La Guardia Airport,114
43540,Edenburg,Wellesley Is,797
43541,Edinburg,Ludington,44
43542,Elwin,Upper Hoh,338
43543,Farmersville,Ellsinore,689
43544,Findlay,Vevay,665
43545,Yantisville,Lashmeet,36
43546,Forsyth,Covington,646
43547,Glenarm,URB Casa Linda Ct,586
43548,Harristown,Bellewood,654
43549,Harvel,Gayville,324
43550,Illiopolis,Malcom,844
43551,Kincaid,Rockcastle,783
43552,Lake Fork,Nazareth,145
43553,Latham,Comunidad Playita Ferry,602
43554,Macon,Pricetown,333
43555,Mechanicsburg,New Almaden,970
43556,Bolivia,National Enquirer,896
43557,Roby,Universal Cty,672
43558,Morrisonville,James Valley,873
43559,Mt Auburn,Altria,745
43560,Mount Auburn,Raysal,790
43561,Mount Pulaski,W Brandywine,931
43562,Mt Pulaski,Central City,693
43563,Hervey City,Genoa,590
43564,Mt Zion,Rollins Branch,870
43565,Mount Zion,Preston Hlow,269
43566,Moweaqua,Oak Lawn,623
43567,Radford,Grant,977
43568,Niantic,Union Mills,441
43569,Oconee,Possum Trot,448
43570,Oreana,Mineral,657
43571,Owaneco,Hartford Insurance Group,721
43572,Palmer,Manila,154
43573,Clarksdale,The Vly,218
43574,Dunkel,San Francisco Intnl Airport,570
43575,Pana,Loudville,298
43576,Millersville,Riverton,571
43577,Sicily,Sumatra,267
43578,Pawnee,Ben Avon Heights,87
43579,Raymond,Bank Of America,791
43580,Riverton,Appleyard,761
43581,Spaulding,Yellow Springs,915
43582,Berry,Pilot Grove,767
43583,Breckenridge,S Dorset,827
43584,Rochester,Monthalia,659
43585,Buckhart,Litl America,514
43586,New City,Disputanta,798
43587,Middlesworth,Millville,854
43588,Westervelt,Dinero,750
43589,Duvall,Nordheim,570
43590,Henton,Bethany,150
43591,Shelbyville,Virner,163
43592,Clarksburg,East Lynn,60
43593,Old Stonington,Metaline,501
43594,Stonington,Francis,161
43595,Willeys,Unger,28
43596,Taylorville,White Bear Lk,356
43597,Langleyville,Meridian,150
43598,Hewittsville,Anita,275
43599,Sharpsburg,Holbrook,527
43600,Jeiseyville,Fly Creek,556
43601,Tovey,Union Hill,896
43602,Dollville,Eprise,40
43603,Hinton,Forest Hills,760
43604,Tower Hill,Gamble,621
43605,Atwater,Jumping Br,665
43606,Waggoner,Silver Spring,848
43607,Heman,Monte Alto,997
43608,Warrensburg,Holbrook,744
43609,Alexander,Lomas Del Manatuabon,25
43610,Alsey,Mound City,441
43611,Arenzville,Holly Hill,232
43612,Newmansville,New Cumberlnd,564
43613,Prentice,Buckville,250
43614,Yatesville,Plaistow,714
43615,Ashland,Clovis,664
43616,Athens,Wall Township,679
43617,Fancy Prairie,Ext Santa Rita,238
43618,Auburn,Groves,131
43619,Bath,Parc Sabana,624
43620,Lynchburg,Lenox Dale,291
43621,Snicarte,Alt De Vega Baja,323
43622,Beardstown,De Witt,467
43623,Bluffs,Wallingford,378
43624,Exeter,URB Jesus M Lago,504
43625,Bluff Springs,Bensenville,980
43626,Sheldons Grove,Huntington Bank,201
43627,Browning,Capitol View,757
43628,Bader,Shady Grove,133
43629,Bluff City,Edom,743
43630,Cantrall,Ehrenfeld,145
43631,Comer,Bethany,853
43632,Carlinville,Fairfax,48
43633,Womac,Grants,332
43634,Enos,Spicer,591
43635,Chandlerville,Bo Buena Vista,635
43636,Panther Creek,New Hartford,707
43637,Chapin,Chiricahua National Monument,874
43638,Bethel,Bond Hill,598
43639,Chatham,Perryville,64
43640,Chesterfield,East Hampstead,52
43641,Hagaman,Kline,236
43642,Concord,Springs,744
43643,Poplar City,Los Altos,681
43644,Biggs,Hyndsville,139
43645,Easton,Letcher,781
43646,Broadwell,Mehoopany Township,516
43647,Elkhart,Cokeburg,572
43648,Emden,Mc Lemoresvle,270
43649,Clements,Ashby,953
43650,Rees,Canoga Park,768
43651,Franklin,Doolie,458
43652,Frederick,Mississippi Valley State Col,271
43653,Mcvey,Harg,806
43654,Standard City,Est De Juana Diaz,268
43655,Girard,Perth Amboy,401
43656,Greenview,Denison,632
43657,Hubly,Emeigh,192
43658,Sweet Water,Annville,833
